,ISG15,IFI6,ISG20,IFIT3,IFIT1,B2M,IFIT2,MT2A,RSAD2,IRF7
0,0.0,0.0,0.54713464,0.0,0.0,4.0055695,0.0,0.0,0.0,0.0
1,0.0,0.0,0.5474726,0.0,0.0,4.005639,0.0,0.0,0.0,0.0
2,0.0,0.0,0.54781055,0.0,0.0,4.0057087,0.0,0.0,0.0,0.0
3,0.0,0.0,0.5481483,0.0,0.0,4.0057783,0.0,0.0,0.0,0.0
4,0.0,0.0,0.548486,0.0,0.0,4.005848,0.0,0.0,0.0,0.0
5,0.0,0.0,0.54882413,0.0,0.0,4.0059175,0.0,0.0,0.0,0.0
6,0.0,0.0,0.5491618,0.0,0.0,4.005987,0.0,0.0,0.0,0.0
7,0.0,0.0,0.5494998,0.0,0.0,4.006057,0.0,0.0,0.0,0.0
8,0.0,0.0,0.54983747,0.0,0.0,4.0061264,0.0,0.0,0.0,0.0
9,0.0,0.0,0.55017555,0.0,0.0,4.006196,0.0,0.0,0.0,0.0
10,0.0,0.0,0.5505133,0.0,0.0,4.0062656,0.0,0.0,0.0,0.0
11,0.0,0.0,0.5508499,0.0,0.0,4.0063367,0.0,0.0,0.0,0.0
12,0.0,0.0,0.5511932,0.0,0.0,4.0064087,0.0,0.0,0.0,0.0
13,0.0,0.0,0.55154824,0.0,0.0,4.0064836,0.0,0.0,0.0,0.0
14,0.0,0.0,0.5519029,0.0,0.0,4.0065584,0.0,0.0,0.0,0.0
15,0.0,0.0,0.5522577,0.0,0.0,4.0066333,0.0,0.0,0.0,0.0
16,0.0,0.0,0.5526129,0.0,0.0,4.006708,0.0,0.0,0.0,0.0
17,0.0,0.0,0.55296755,0.0,0.0,4.006783,0.0,0.0,0.0,0.0
18,0.0,0.0,0.55332273,0.0,0.0,4.006858,0.0,0.0,0.0,0.0
19,0.0,0.0,0.55367774,0.0,0.0,4.0069327,0.0,0.0,0.0,0.0
20,0.0,0.0,0.5540325,0.0,0.0,4.007007,0.0,0.0,0.0,0.0
21,0.0,0.0,0.55438775,0.0,0.0,4.007082,0.0,0.0,0.0,0.0
22,0.0,0.0,0.55474246,0.0,0.0,4.007157,0.0,0.0,0.0,0.0
23,0.0,0.0,0.55509746,0.0,0.0,4.0072317,0.0,0.0,0.0,0.0
24,0.0,0.0,0.55545235,0.0,0.0,4.0073066,0.0,0.0,0.0,0.0
25,0.0,0.0,0.5558071,0.0,0.0,4.0073814,0.0,0.0,0.0,0.0
26,0.0,0.0,0.5561622,0.0,0.0,4.0074563,0.0,0.0,0.0,0.0
27,0.0,0.0,0.5565171,0.0,0.0,4.007531,0.0,0.0,0.0,0.0
28,0.0,0.0,0.55687207,0.0,0.0,4.007606,0.0,0.0,0.0,0.0
29,0.0,0.0,0.55722666,0.0,0.0,4.0076804,0.0,0.0,0.0,0.0
30,0.0,0.0,0.55758166,0.0,0.0,4.0077553,0.0,0.0,0.0,0.0
31,0.0,0.0,0.55793697,0.0,0.0,4.00783,0.0,0.0,0.0,0.0
32,0.0,0.0,0.5582916,0.0,0.0,4.007905,0.0,0.0,0.0,0.0
33,0.0,0.0,0.5586467,0.0,0.0,4.00798,0.0,0.0,0.0,0.0
34,0.0,0.0,0.5590017,0.0,0.0,4.0080547,0.0,0.0,0.0,0.0
35,0.0,0.0,0.55935645,0.0,0.0,4.0081296,0.0,0.0,0.0,0.0
36,0.0,0.0,0.55971134,0.0,0.0,4.0082045,0.0,0.0,0.0,0.0
37,0.0,0.0,0.56006634,0.0,0.0,4.0082793,0.0,0.0,0.0,0.0
38,0.0,0.0,0.5604211,0.0,0.0,4.008354,0.0,0.0,0.0,0.0
39,0.0,0.0,0.5607761,0.0,0.0,4.008429,0.0,0.0,0.0,0.0
40,0.0,0.0,0.5611312,0.0,0.0,4.0085034,0.0,0.0,0.0,0.0
41,0.0,0.0,0.5614858,0.0,0.0,4.0085783,0.0,0.0,0.0,0.0
42,0.0,0.0,0.5618406,0.0,0.0,4.008653,0.0,0.0,0.0,0.0
43,0.0,0.0,0.56219524,0.0,0.0,4.0087276,0.0,0.0,0.0,0.0
44,0.0,0.0,0.56255,0.0,0.0,4.0088024,0.0,0.0,0.0,0.0
45,0.0,0.0,0.56290483,0.0,0.0,4.008877,0.0,0.0,0.0,0.0
46,0.0,0.0,0.5632595,0.0,0.0,4.0089517,0.0,0.0,0.0,0.0
47,0.0,0.0,0.56361413,0.0,0.0,4.009026,0.0,0.0,0.0,0.0
48,0.0,0.0,0.5639684,0.0,0.0,4.009101,0.0,0.0,0.0,0.0
49,0.0,0.0,0.56432295,0.0,0.0,4.009176,0.0,0.0,0.0,0.0
50,0.0,0.0,0.564677,0.0,0.0,4.0092506,0.0,0.0,0.0,0.0
51,0.0,0.0,0.565031,0.0,0.0,4.009326,0.0,0.0,0.0,0.0
